Unnamed: 0,Query,Song Name,Info,spotify_id,streams_total,popularity_current,playlists_current,playlists_total,playlists_editorial_current,playlists_editorial_total,playlist_reach_current,playlist_reach_total,charts_current,charts_total
0,q=working%20music%20in%20classical%20style%20for%20calming%20,"Turandot, SC 91: ""Nessun Dorma"" - Arr. for String Orchestra by Matt Naughtin","{'danceability': 0.17, 'energy': 0.149, 'key': 2, 'loudness': -18.71, 'mode': 1, 'speechiness': 0.0434, 'acousticness': 0.477, 'instrumentalness': 0.917, 'liveness': 0.118, 'valence': 0.0373, 'tempo': 112.67, 'type': 'audio_features', 'id': '6a0uCh0i9ICDwLgjuZwhTI', 'uri': 'spotify:track:6a0uCh0i9ICDwLgjuZwhTI', 'track_href': 'https://api.spotify.com/v1/tracks/6a0uCh0i9ICDwLgjuZwhTI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6a0uCh0i9ICDwLgjuZwhTI', 'duration_ms': 188000, 'time_signature': 5}",6a0uCh0i9ICDwLgjuZwhTI,370619,34,4,5,1,2,208611,926009,0,0
1,q=working%20music%20in%20classical%20style%20for%20calming%20,"By the Still Waters, Op. 114","{'danceability': 0.219, 'energy': 0.00913, 'key': 1, 'loudness': -42.727, 'mode': 1, 'speechiness': 0.0352, 'acousticness': 0.993, 'instrumentalness': 0.882, 'liveness': 0.0807, 'valence': 0.0702, 'tempo': 75.77, 'type': 'audio_features', 'id': '3qLZnIVAiGexuNuG8Aptrq', 'uri': 'spotify:track:3qLZnIVAiGexuNuG8Aptrq', 'track_href': 'https://api.spotify.com/v1/tracks/3qLZnIVAiGexuNuG8Aptrq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3qLZnIVAiGexuNuG8Aptrq', 'duration_ms': 187293, 'time_signature': 4}",3qLZnIVAiGexuNuG8Aptrq,21155105,53,41,75,2,4,1289922,2215882,0,0
2,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quintet No. 3 in C Major, K. 515*: II. Andante","{'danceability': 0.161, 'energy': 0.0569, 'key': 5, 'loudness': -24.697, 'mode': 1, 'speechiness': 0.0489, 'acousticness': 0.948, 'instrumentalness': 0.76, 'liveness': 0.0996, 'valence': 0.136, 'tempo': 80.268, 'type': 'audio_features', 'id': '3BYhyLzNIvSaFY2jGomMKr', 'uri': 'spotify:track:3BYhyLzNIvSaFY2jGomMKr', 'track_href': 'https://api.spotify.com/v1/tracks/3BYhyLzNIvSaFY2jGomMKr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3BYhyLzNIvSaFY2jGomMKr', 'duration_ms': 546400, 'time_signature': 3}",3BYhyLzNIvSaFY2jGomMKr,4006628,39,9,10,3,3,564147,564973,0,0
3,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quartet No. 19 in C Major, K. 465, ""Dissonance"": II. Andante cantabile","{'danceability': 0.152, 'energy': 0.0549, 'key': 5, 'loudness': -23.525, 'mode': 1, 'speechiness': 0.047, 'acousticness': 0.936, 'instrumentalness': 0.844, 'liveness': 0.109, 'valence': 0.0647, 'tempo': 92.329, 'type': 'audio_features', 'id': '6O7iXmIucRXi1ZmCS9jaat', 'uri': 'spotify:track:6O7iXmIucRXi1ZmCS9jaat', 'track_href': 'https://api.spotify.com/v1/tracks/6O7iXmIucRXi1ZmCS9jaat', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6O7iXmIucRXi1ZmCS9jaat', 'duration_ms': 454760, 'time_signature': 4}",6O7iXmIucRXi1ZmCS9jaat,2673990,36,11,14,2,2,390114,474810,0,0
4,q=working%20music%20in%20classical%20style%20for%20calming%20,Enigma Variations: Nimrod,"{'danceability': 0.187, 'energy': 0.239, 'key': 3, 'loudness': -15.022, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.133, 'instrumentalness': 0.948, 'liveness': 0.103, 'valence': 0.0394, 'tempo': 83.334, 'type': 'audio_features', 'id': '0FvSR6SVzJRFXlneneRpcB', 'uri': 'spotify:track:0FvSR6SVzJRFXlneneRpcB', 'track_href': 'https://api.spotify.com/v1/tracks/0FvSR6SVzJRFXlneneRpcB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0FvSR6SVzJRFXlneneRpcB', 'duration_ms': 189201, 'time_signature': 4}",0FvSR6SVzJRFXlneneRpcB,3718632,0,9,31,0,4,107613,1489566,0,0
5,q=working%20music%20in%20classical%20style%20for%20calming%20,VENUS in Sunlight Grey,"{'danceability': 0.281, 'energy': 0.132, 'key': 8, 'loudness': -17.366, 'mode': 1, 'speechiness': 0.0399, 'acousticness': 0.959, 'instrumentalness': 0.855, 'liveness': 0.0799, 'valence': 0.0371, 'tempo': 126.302, 'type': 'audio_features', 'id': '1vAUDGCObZGyxUxgh3rtl6', 'uri': 'spotify:track:1vAUDGCObZGyxUxgh3rtl6', 'track_href': 'https://api.spotify.com/v1/tracks/1vAUDGCObZGyxUxgh3rtl6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1vAUDGCObZGyxUxgh3rtl6', 'duration_ms': 247813, 'time_signature': 3}",1vAUDGCObZGyxUxgh3rtl6,1216694,35,7,12,2,3,650205,1447689,0,0
6,q=working%20music%20in%20classical%20style%20for%20calming%20,Cavatina,"{'danceability': 0.297, 'energy': 0.0875, 'key': 4, 'loudness': -22.874, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.988, 'instrumentalness': 0.943, 'liveness': 0.103, 'valence': 0.365, 'tempo': 78.676, 'type': 'audio_features', 'id': '6AiTxlRQ2lWO69bPDtTz29', 'uri': 'spotify:track:6AiTxlRQ2lWO69bPDtTz29', 'track_href': 'https://api.spotify.com/v1/tracks/6AiTxlRQ2lWO69bPDtTz29', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6AiTxlRQ2lWO69bPDtTz29', 'duration_ms': 239640, 'time_signature': 5}",6AiTxlRQ2lWO69bPDtTz29,4786791,32,117,146,0,2,350699,610676,0,0
7,q=working%20music%20in%20classical%20style%20for%20calming%20,Landsort,"{'danceability': 0.385, 'energy': 0.00573, 'key': 11, 'loudness': -36.214, 'mode': 1, 'speechiness': 0.0365, 'acousticness': 0.991, 'instrumentalness': 0.699, 'liveness': 0.0921, 'valence': 0.302, 'tempo': 101.688, 'type': 'audio_features', 'id': '0VrOdgTIh68gW8p9WkXSPY', 'uri': 'spotify:track:0VrOdgTIh68gW8p9WkXSPY', 'track_href': 'https://api.spotify.com/v1/tracks/0VrOdgTIh68gW8p9WkXSPY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0VrOdgTIh68gW8p9WkXSPY', 'duration_ms': 139690, 'time_signature': 4}",0VrOdgTIh68gW8p9WkXSPY,5660500,0,10,18,2,5,685270,963374,0,0
8,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quartet No. 21 in D Major, K. 575, ""Prussian No. 1"": II. Andante","{'danceability': 0.163, 'energy': 0.0488, 'key': 9, 'loudness': -24.094, 'mode': 1, 'speechiness': 0.0467, 'acousticness': 0.974, 'instrumentalness': 0.832, 'liveness': 0.183, 'valence': 0.116, 'tempo': 89.66, 'type': 'audio_features', 'id': '7tPmBwMQpAKHhcsXujduYs', 'uri': 'spotify:track:7tPmBwMQpAKHhcsXujduYs', 'track_href': 'https://api.spotify.com/v1/tracks/7tPmBwMQpAKHhcsXujduYs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7tPmBwMQpAKHhcsXujduYs', 'duration_ms': 268547, 'time_signature': 4}",7tPmBwMQpAKHhcsXujduYs,3121257,37,15,16,2,2,396576,397402,0,0
9,q=working%20music%20in%20classical%20style%20for%20calming%20,"String Quartet No. 14 in G Major, K. 387: III. Andante cantabile","{'danceability': 0.131, 'energy': 0.0378, 'key': 0, 'loudness': -25.268, 'mode': 1, 'speechiness': 0.0481, 'acousticness': 0.963, 'instrumentalness': 0.738, 'liveness': 0.0825, 'valence': 0.0792, 'tempo': 64.613, 'type': 'audio_features', 'id': '10sEfHy8IUzqtuiumsBY3E', 'uri': 'spotify:track:10sEfHy8IUzqtuiumsBY3E', 'track_href': 'https://api.spotify.com/v1/tracks/10sEfHy8IUzqtuiumsBY3E', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/10sEfHy8IUzqtuiumsBY3E', 'duration_ms': 462880, 'time_signature': 4}",10sEfHy8IUzqtuiumsBY3E,4833998,39,19,34,3,4,586068,691152,0,0
